YEAR,FAC_NO,FAC_NAME,BEG_DATE,END_DATE,COUNTY_NAME,TYPE_CNTRL,PATIENT_DAYS,PRDHR_MGT,PRDHR_RN,PRDHR_LVN,PRDHR_NA,PRDHR_TSP,PRDHR_PSY,PRDHR_OTH
2013,206070932,CREEKSIDE HEALTHCARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,26659,1892,18147,16727,55678,0,0,2631
2012,206070932,CREEKSIDE HEALTHCARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,26575,1947,17806,16957,55888,0,0,2834
2011,206070932,CREEKSIDE HEALTHCARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,26491,1959,16169,18678,56316,0,0,1933
2015,206070933,GRACE HEALTHCARE OF MORAGA,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,14317,2127,19816,2080,33681,0,0,0
2014,206070933,GRACE HEALTHCARE OF MORAGA,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,14811,1945,16410,4887,36478,0,0,0
2013,206070933,GRACE HEALTHCARE OF MORAGA,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,14187,1918,10415,8733,37043,0,0,1424
2012,206070933,GRACE HEALTHCARE OF MORAGA,05/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,9682,1311,6202,6298,24767,0,0,864
2011,206070933,GRACE HEALTHCARE OF MORAGA,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,14189,2079,12019,6895,36117,0,0,0
2015,206070935,DANVILLE REHABILITATION,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,16242,1693,17352,9025,40099,0,0,0
2014,206070935,DANVILLE REHABILITATION,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,15641,1888,14223,8466,37995,0,0,0
2013,206070935,DANVILLE REHABILITATION,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,15198,1934,15626,8381,37541,0,0,0
2012,206070935,DANVILLE REHABILITATION,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,16182,1260,17053,6824,37385,0,0,0
2011,206070935,DANVILLE REHABILITATION,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,15574,1994,17268,5072,36559,0,0,0
2015,206070958,GREENRIDGE SENIOR CARE,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,19900,2016,13079,11250,59116,0,0,0
2014,206070958,GREENRIDGE SENIOR CARE,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,18740,2157,16085,6277,57361,0,0,0
2013,206070958,GREENRIDGE SENIOR CARE,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,19382,1916,11892,7489,55827,0,0,0
2012,206070958,GREENRIDGE SENIOR CARE,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,19826,2016,10408,8535,54713,0,0,0
2011,206070958,GREENRIDGE SENIOR CARE,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,19777,1968,8849,10360,55307,0,0,0
2015,206070962,WILLOW PASS HEALTHCARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,28310,2008,11524,21109,64564,0,0,2265
2014,206070962,WILLOW PASS HEALTHCARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,28268,1772,11975,20447,65528,0,0,2294
2013,206070962,WILLOW PASS HEALTHCARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,27431,1917,11718,21425,65477,0,0,1782
2012,206070962,WILLOW PASS HEALTHCARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,27345,1747,12722,18761,64700,0,0,841
2011,206070962,WILLOW PASS HEALTHCARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,27055,1417,13845,18986,66665,0,0,0
2014,206070996,LAFAYETTE CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,16955,2080,7733,9247,38977,0,0,682
2013,206070996,LAFAYETTE CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,16200,1993,8278,8301,35745,0,0,714
2012,206070996,LAFAYETTE CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,16543,2103,4736,10470,37890,0,0,0
2011,206070996,LAFAYETTE CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,15761,1725,5841,9396,38740,184,0,0
2015,206071009,MARTINEZ CONVALESCENT HOSPITAL,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,11447,2000,4042,3759,27044,0,0,0
2014,206071009,MARTINEZ CONVALESCENT HOSPITAL,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,11885,1968,4206,4388,28460,0,0,0
2013,206071009,MARTINEZ CONVALESCENT HOSPITAL,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,11182,1918,4858,4181,26020,0,0,0
2012,206071009,MARTINEZ CONVALESCENT HOSPITAL,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,11652,1903,4653,4814,28148,0,0,0
2011,206071009,MARTINEZ CONVALESCENT HOSPITAL,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,11368,1504,4318,5726,27407,0,0,0
2015,206071028,GRACE HEALTHCARE OF PLEASANT HILL,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,15210,1921,17314,3548,39488,0,0,0
2014,206071028,GRACE HEALTHCARE OF PLEASANT HILL,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,15731,1920,16699,4321,41787,0,0,0
2013,206071028,GRACE HEALTHCARE OF PLEASANT HILL,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,14975,1858,11087,6321,41136,0,0,1795
2012,206071028,GRACE HEALTHCARE OF PLEASANT HILL,05/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,8751,1239,5644,4779,24491,0,0,1171
2011,206071028,GRACE HEALTHCARE OF PLEASANT HILL,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,12733,1988,6890,8742,33989,0,0,0
2015,206071029,ORINDA CARE CENTER,02/24/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,14773,1785,6500,8761,33132,0,0,0
2014,206071029,ORINDA CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,12582,2194,5966,10908,32522,0,0,0
2013,206071029,ORINDA CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,10815,1841,6523,9880,30946,0,0,0
2012,206071029,ORINDA CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,10606,1898,7400,8967,31522,0,0,0
2011,206071029,ORINDA CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,10710,1825,6515,10372,33641,0,0,0
2015,206071042,PITTSBURG SKILLED NURSING CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,16756,1713,1235,18313,38125,0,0,0
2014,206071042,PITTSBURG SKILLED NURSING CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,15877,1905,2471,16715,39963,0,0,0
2013,206071042,PITTSBURG SKILLED NURSING CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,17497,1807,2361,17044,39818,0,0,0
2012,206071042,PITTSBURG SKILLED NURSING CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,17444,1900,3309,15800,40376,0,0,0
2011,206071042,PITTSBURG SKILLED NURSING CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,16543,1827,5686,12690,40354,0,0,0
2015,206071044,WINDSOR ROSEWOOD CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,35801,2043,28513,45591,73983,15786,0,3331
2014,206071044,WINDSOR ROSEWOOD CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,36852,5630,49905,36936,76576,0,0,1826
2013,206071044,WINDSOR ROSEWOOD CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,36979,4965,64948,25061,79131,0,0,0
2012,206071044,WINDSOR ROSEWOOD CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,34356,4442,38778,16248,82384,11692,0,0
2011,206071044,WINDSOR ROSEWOOD CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,36230,3370,19541,16702,92040,0,0,0
2015,206071061,TAMPICO TERRACE CARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,30301,1856,17565,29252,85526,0,0,4107
2014,206071061,TAMPICO TERRACE CARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,31107,2000,23016,29690,81394,0,0,4136
2013,206071061,TAMPICO TERRACE CARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,31500,2000,23030,27773,77909,0,0,2705
2012,206071061,TAMPICO TERRACE CARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,30286,1841,20507,25288,75990,0,0,4731
2011,206071061,TAMPICO TERRACE CARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,31221,1937,21158,27703,82226,0,0,3755
2015,206071069,SHIELDS/RICHMOND NURSING CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,26121,1849,21954,8918,64363,0,0,1192
2014,206071069,SHIELDS/RICHMOND NURSING CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,27226,1917,20736,10574,66752,0,0,1382
2013,206071069,SHIELDS/RICHMOND NURSING CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,26119,2003,15179,14340,63909,0,0,1229
2012,206071069,SHIELDS/RICHMOND NURSING CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,27293,1437,17389,11784,64638,0,0,1217
2011,206071069,SHIELDS/RICHMOND NURSING CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,26362,2290,12709,13525,62409,0,0,1207
2015,206071095,WINDSOR MANOR REHAB CENTER OF CONCORD,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,59549,6726,22814,50268,131103,0,0,7444
2014,206071095,WINDSOR MANOR REHAB CENTER OF CONCORD,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,63134,4184,33616,49370,144582,0,0,1913
2013,206071095,WINDSOR MANOR REHAB CENTER OF CONCORD,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,64770,4023,47280,40459,147690,0,0,0
2012,206071095,WINDSOR MANOR REHAB CENTER OF CONCORD,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,64406,4210,43142,40531,148338,0,0,0
2011,206071095,WINDSOR MANOR REHAB CENTER OF CONCORD,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,64895,5518,36826,41317,147985,0,0,0
2015,206071099,VINTAGE ESTATES OF RICHMOND,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,11997,1755,3467,5660,31321,0,0,0
2014,206071099,VINTAGE ESTATES OF RICHMOND,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,11614,1877,3180,5450,29460,0,0,0
2013,206071099,VINTAGE ESTATES OF RICHMOND,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,11367,1928,4429,4722,30141,0,0,0
2012,206071099,VINTAGE ESTATES OF RICHMOND,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,12129,1888,4159,5326,31749,0,0,0
2011,206071099,VINTAGE ESTATES OF RICHMOND,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,11854,1832,3167,7060,30348,0,0,0
2015,206071107,KINDRED NURSING & REHABILITATION-YGNACIO VALLEY,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,30654,1858,12500,24261,67916,0,0,3320
2014,206071107,KINDRED NURSING & REHABILITATION-YGNACIO VALLEY,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,29920,1845,12352,22501,66643,0,0,4085
2013,206071107,KINDRED NURSING & REHABILITATION-YGNACIO VALLEY,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,29241,1983,12039,22040,64187,0,0,3977
2012,206071107,KINDRED NURSING & REHABILITATION-YGNACIO VALLEY,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,30538,1675,12465,23313,68433,0,0,4387
2011,206071107,KINDRED NURSING & REHABILITATION-YGNACIO VALLEY,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,29374,1673,15941,19062,63931,0,0,5688
2015,206073349,LEGACY NURSING AND REHABILITATION CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,31643,1988,9395,20535,79035,0,0,1806
2014,206073349,LEGACY NURSING AND REHABILITATION CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,31224,3717,10096,17254,77076,0,0,1817
2013,206073349,LEGACY NURSING AND REHABILITATION CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,29792,1872,9595,17393,75446,0,0,1803
2012,206073349,LEGACY NURSING AND REHABILITATION CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,31920,2081,10876,19726,85994,0,0,0
2011,206073349,LEGACY NURSING AND REHABILITATION CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,32911,1940,5203,24043,82130,0,0,0
2015,206073366,KINDRED TRANSITIONAL CARE & REHABILITATION-WALNUT CREEK,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,57671,3593,32738,84846,121189,0,0,8623
2014,206073366,KINDRED TRANSITIONAL CARE & REHABILITATION-WALNUT CREEK,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,53188,3843,32065,68077,123715,0,0,7237
2013,206073366,KINDRED TRANSITIONAL CARE & REHABILITATION-WALNUT CREEK,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,55769,3880,38814,69000,127029,0,0,7881
2012,206073366,KINDRED TRANSITIONAL CARE & REHABILITATION-WALNUT CREEK,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,53429,4203,36968,67182,124624,0,0,8709
2011,206073366,KINDRED TRANSITIONAL CARE & REHABILITATION-WALNUT CREEK,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,54444,5926,41259,70624,123037,0,0,12769
2015,206073625,SAN MIGUEL VILLA,10/01/2014 12:00:00 AM,09/30/2015 12:00:00 AM,Contra Costa,Investor Owned,66186,2024,12316,43000,157053,0,0,3395
2014,206073625,SAN MIGUEL VILLA,10/01/2013 12:00:00 AM,09/30/2014 12:00:00 AM,Contra Costa,Investor Owned,64082,2275,8828,35644,155525,0,0,3789
2013,206073625,SAN MIGUEL VILLA,10/01/2012 12:00:00 AM,09/30/2013 12:00:00 AM,Contra Costa,Investor Owned,63315,2080,12376,42321,156422,0,0,4002
2012,206073625,SAN MIGUEL VILLA,10/01/2011 12:00:00 AM,09/30/2012 12:00:00 AM,Contra Costa,Investor Owned,65153,2080,11671,43845,160618,0,0,0
2011,206073625,SAN MIGUEL VILLA,10/01/2010 12:00:00 AM,09/30/2011 12:00:00 AM,Contra Costa,Investor Owned,65534,2083,16055,39852,170849,0,0,0
2015,206073627,SHIELDS NURSING CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,12978,1418,15218,4886,37195,0,0,672
2014,206073627,SHIELDS NURSING CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,13674,1686,13092,5364,38322,0,0,589
2013,206073627,SHIELDS NURSING CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,13916,1981,9977,7405,40396,0,0,662
2012,206073627,SHIELDS NURSING CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,13782,1451,6709,8710,37981,0,0,677
2011,206073627,SHIELDS NURSING CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,13862,1876,4450,10039,39455,0,0,650
2015,206073641,LONE TREE CONVALESCENT HOSPITAL,05/01/2014 12:00:00 AM,04/30/2015 12:00:00 AM,Contra Costa,Investor Owned,32892,2080,12760,23556,77427,0,0,2381
2014,206073641,LONE TREE CONVALESCENT HOSPITAL,05/01/2013 12:00:00 AM,04/30/2014 12:00:00 AM,Contra Costa,Investor Owned,32901,2080,11051,23538,78662,0,0,1187
2013,206073641,LONE TREE CONVALESCENT HOSPITAL,05/01/2012 12:00:00 AM,04/30/2013 12:00:00 AM,Contra Costa,Investor Owned,31872,2080,12394,25441,84854,0,0,1920
2012,206073641,LONE TREE CONVALESCENT HOSPITAL,05/01/2011 12:00:00 AM,04/30/2012 12:00:00 AM,Contra Costa,Investor Owned,33511,2080,11195,26200,86059,0,0,0
2011,206073641,LONE TREE CONVALESCENT HOSPITAL,05/01/2010 12:00:00 AM,04/30/2011 12:00:00 AM,Contra Costa,Investor Owned,33521,2082,11079,23111,84144,0,0,2082
2015,206073644,VALE HEALTHCARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,69165,4098,28756,55505,158512,0,0,1113
2014,206073644,VALE HEALTHCARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,69240,3772,35748,47762,153607,0,0,2567
2013,206073644,VALE HEALTHCARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,68134,3390,39795,40126,152587,0,0,2029
2012,206073644,VALE HEALTHCARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,68730,3801,35987,43095,154208,0,0,1842
2011,206073644,VALE HEALTHCARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,68317,3865,37644,44011,162835,0,0,2133
2015,206074002,DIAMOND RIDGE HEALTHCARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,41461,4331,17913,27911,89130,0,0,4427
2014,206074002,DIAMOND RIDGE HEALTHCARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,41088,5450,17000,29064,89192,0,0,4659
2013,206074002,DIAMOND RIDGE HEALTHCARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,41201,4952,17257,28395,90119,0,0,4868
2012,206074002,DIAMOND RIDGE HEALTHCARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,41560,4746,18969,28739,94545,0,0,5067
2011,206074002,DIAMOND RIDGE HEALTHCARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,41586,6534,18498,31445,98142,0,0,5486
2015,206074024,MANORCARE HEALTH SERVICES (WALNUT CREEK),06/01/2014 12:00:00 AM,05/31/2015 12:00:00 AM,Contra Costa,Investor Owned,47936,5253,66213,24464,111181,0,0,6373
2014,206074024,MANORCARE HEALTH SERVICES (WALNUT CREEK),06/01/2013 12:00:00 AM,05/31/2014 12:00:00 AM,Contra Costa,Investor Owned,48085,5813,56361,25824,112941,0,0,5658
2013,206074024,MANORCARE HEALTH SERVICES (WALNUT CREEK),06/01/2012 12:00:00 AM,05/31/2013 12:00:00 AM,Contra Costa,Investor Owned,48409,7380,50138,27424,112210,0,0,5304
2012,206074024,MANORCARE HEALTH SERVICES (WALNUT CREEK),06/01/2011 12:00:00 AM,05/31/2012 12:00:00 AM,Contra Costa,Investor Owned,49902,7021,50570,29950,116175,0,0,4987
2011,206074024,MANORCARE HEALTH SERVICES (WALNUT CREEK),06/01/2010 12:00:00 AM,05/31/2011 12:00:00 AM,Contra Costa,Investor Owned,49035,6843,41725,34984,120381,0,0,4495
2015,206074025,STONEBROOK HEALTHCARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Contra Costa,Investor Owned,39858,3723,13898,49650,100339,0,0,3869
2014,206074025,STONEBROOK HEALTHCARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,Contra Costa,Investor Owned,39321,3910,15848,51053,112291,0,0,3692
2013,206074025,STONEBROOK HEALTHCARE CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,Contra Costa,Investor Owned,40623,1878,16657,53100,117789,0,0,3795
2012,206074025,STONEBROOK HEALTHCARE CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,Contra Costa,Investor Owned,41419,1927,16303,52483,118277,0,0,4944
2011,206074025,STONEBROOK HEALTHCARE CENTER,01/01/2011 12:00:00 AM,12/31/2011 12:00:00 AM,Contra Costa,Investor Owned,40954,1800,13128,54357,115580,0,0,5489
2015,206074076,MANORCARE HEALTH SERVICES-TICE VALLEY,06/01/2014 12:00:00 AM,05/31/2015 12:00:00 AM,Contra Costa,Investor Owned,40313,6103,55391,21976,92879,0,0,5530
2014,206074076,MANORCARE HEALTH SERVICES-TICE VALLEY,06/01/2013 12:00:00 AM,05/31/2014 12:00:00 AM,Contra Costa,Investor Owned,40004,5850,57554,20798,92545,0,0,5209
2013,206074076,MANORCARE HEALTH SERVICES-TICE VALLEY,06/01/2012 12:00:00 AM,05/31/2013 12:00:00 AM,Contra Costa,Investor Owned,40559,5952,58527,21731,89251,0,0,5725
2012,206074076,MANORCARE HEALTH SERVICES-TICE VALLEY,06/01/2011 12:00:00 AM,05/31/2012 12:00:00 AM,Contra Costa,Investor Owned,40153,5598,51682,24729,87997,0,0,5656
2011,206074076,MANORCARE HEALTH SERVICES-TICE VALLEY,06/01/2010 12:00:00 AM,05/31/2011 12:00:00 AM,Contra Costa,Investor Owned,39952,5772,40246,25032,89505,33862,0,5287
2015,206074085,HOME FOR JEWISH PARENTS,07/01/2014 12:00:00 AM,06/30/2015 12:00:00 AM,Contra Costa,Not-for-Profit,21100,1842,9299,11538,55572,0,0,3442
2014,206074085,HOME FOR JEWISH PARENTS,07/01/2013 12:00:00 AM,06/30/2014 12:00:00 AM,Contra Costa,Not-for-Profit,20339,1984,8938,11093,53501,0,0,2198
2013,206074085,HOME FOR JEWISH PARENTS,07/01/2012 12:00:00 AM,06/30/2013 12:00:00 AM,Contra Costa,Not-for-Profit,20786,1802,8786,9676,53511,0,0,2215
2012,206074085,HOME FOR JEWISH PARENTS,07/01/2011 12:00:00 AM,06/30/2012 12:00:00 AM,Contra Costa,Not-for-Profit,20785,2088,6640,12101,53516,0,0,2240
2011,206074085,HOME FOR JEWISH PARENTS,07/01/2010 12:00:00 AM,06/30/2011 12:00:00 AM,Contra Costa,Not-for-Profit,21309,2088,6174,11945,53319,0,0,2131
2015,206080930,LANTERN HEALTH CRESCENT CITY,04/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,Del Norte,Investor Owned,18288,1590,3197,18173,47042,160,0,1023
2014,206080930,LANTERN HEALTH CRESCENT CITY,10/01/2013 12:00:00 AM,09/30/2014 12:00:00 AM,Del Norte,Investor Owned,24039,1918,3326,18738,65248,0,0,0
2013,206080930,LANTERN HEALTH CRESCENT CITY,10/01/2012 12:00:00 AM,09/30/2013 12:00:00 AM,Del Norte,Investor Owned,23510,2503,2879,23264,65534,0,0,0
2012,206080930,LANTERN HEALTH CRESCENT CITY,10/01/2011 12:00:00 AM,09/30/2012 12:00:00 AM,Del Norte,Investor Owned,23832,1941,2513,25418,62274,0,0,0
2011,206080930,LANTERN HEALTH CRESCENT CITY,10/01/2010 12:00:00 AM,09/30/2011 12:00:00 AM,Del Norte,Investor Owned,24424,1880,4686,25500,62928,0,0,0
2015,206090863,WESTERN SLOPE HEALTH CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,El Dorado,Investor Owned,34942,11138,19973,17027,79224,0,0,0
2014,206090863,WESTERN SLOPE HEALTH CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,El Dorado,Investor Owned,35383,12457,18735,17603,79851,0,0,0
2013,206090863,WESTERN SLOPE HEALTH CENTER,01/01/2013 12:00:00 AM,12/31/2013 12:00:00 AM,El Dorado,Investor Owned,34879,6092,19111,21358,84560,0,0,0
2012,206090863,WESTERN SLOPE HEALTH CENTER,01/01/2012 12:00:00 AM,12/31/2012 12:00:00 AM,El Dorado,Investor Owned,34231,4842,24246,23842,75690,0,0,0
2011,206090863,WESTERN SLOPE HEALTH CENTER,06/07/2011 12:00:00 AM,12/31/2011 12:00:00 AM,El Dorado,Investor Owned,18890,2640,13996,14111,46900,0,0,0
2015,206090983,THE PINES AT PLACERVILLE HEALTHCARE CENTER,01/01/2015 12:00:00 AM,12/31/2015 12:00:00 AM,El Dorado,Investor Owned,31215,2213,11569,25403,66330,0,0,0
2014,206090983,THE PINES AT PLACERVILLE HEALTHCARE CENTER,01/01/2014 12:00:00 AM,12/31/2014 12:00:00 AM,El Dorado,Investor Owned,31941,2304,12600,24108,73069,0,0,0
